Pregnant,Cohort,Country,Admin1,Admin2,S,C,M,G,I_latent,S_latent,N
TRUE,FALSE,Guatemala,Peten,NA,38,9,NA,NA,NA,NA,33647.21467
TRUE,FALSE,Guatemala,Quezaltenango,NA,32,11,NA,NA,NA,NA,43249.28011
TRUE,FALSE,Guatemala,Quiche,NA,26,5,NA,NA,NA,NA,49048.00693
TRUE,FALSE,Guatemala,Retalhuleu,NA,9,5,NA,NA,NA,NA,18466.61454
TRUE,FALSE,Guatemala,Sacatepequez,NA,15,3,NA,NA,NA,NA,22843.01577
TRUE,FALSE,Guatemala,San_Marcos,NA,13,3,NA,NA,NA,NA,47403.11175
TRUE,FALSE,Guatemala,Santa_Rosa,NA,52,15,NA,NA,NA,NA,18166.82817
TRUE,FALSE,Guatemala,Solola,NA,4,1,NA,NA,NA,NA,23806.37658
TRUE,FALSE,Guatemala,Suchitepequez,NA,40,17,NA,NA,NA,NA,27173.18425
TRUE,FALSE,Guatemala,Totonicapan,NA,0,0,NA,NA,NA,NA,24748.19396
TRUE,FALSE,Guatemala,Zacapa,NA,43,15,NA,NA,NA,NA,11870.50211
