Pregnant,Cohort,Country,Admin1,Admin2,S,C,M,G,I_latent,S_latent,N
FALSE,TRUE,Puerto_Rico,Aguadilla,NA,NA,NA,NA,NA,13,NA,1620.578947
FALSE,TRUE,Puerto_Rico,Arecibo,NA,NA,NA,NA,NA,33,NA,4063.315789
FALSE,TRUE,Puerto_Rico,Bayamon,NA,NA,NA,NA,NA,80,NA,10351.42105
FALSE,TRUE,Puerto_Rico,Caguas,NA,NA,NA,NA,NA,34,NA,9406.263158
FALSE,TRUE,Puerto_Rico,Fajardo,NA,NA,NA,NA,NA,4,NA,2112.578947
FALSE,TRUE,Puerto_Rico,Mayaguez,NA,NA,NA,NA,NA,12,NA,1978.789474
FALSE,TRUE,Puerto_Rico,Ponce,NA,NA,NA,NA,NA,24,NA,3670.578947
FALSE,TRUE,Puerto_Rico,Metro_San_Juan,NA,NA,NA,NA,NA,118,NA,13122.15789
FALSE,FALSE,Puerto_Rico,Caguas,Naguabo,95,22,NA,NA,NA,NA,26757
FALSE,FALSE,Puerto_Rico,Bayamon,Naranjito,760,468,NA,NA,NA,NA,30440
FALSE,FALSE,Puerto_Rico,Bayamon,Orocovis,244,113,NA,NA,NA,NA,23499
FALSE,FALSE,Puerto_Rico,Ponce,Patillas,516,233,NA,NA,NA,NA,19295
FALSE,FALSE,Puerto_Rico,Ponce,Penuelas,1297,621,NA,NA,NA,NA,24104
FALSE,FALSE,Puerto_Rico,Ponce,Ponce,6611,2778,NA,NA,NA,NA,163030
FALSE,FALSE,Puerto_Rico,Arecibo,Quebradillas,368,202,NA,NA,NA,NA,25766
FALSE,FALSE,Puerto_Rico,Mayaguez,Rincon,268,174,NA,NA,NA,NA,15143
TRUE,TRUE,Brazil,Rio_de_Janeiro,Rio_de_Janeiro,NA,NA,4,NA,NA,NA,117
FALSE,FALSE,Puerto_Rico,Fajardo,Rio_Grande,349,149,NA,NA,NA,NA,54109
FALSE,FALSE,Puerto_Rico,Mayaguez,Sabana_Grande,562,384,NA,NA,NA,NA,25122
FALSE,FALSE,Puerto_Rico,Ponce,Salinas,664,313,NA,NA,NA,NA,30897
FALSE,FALSE,Puerto_Rico,Mayaguez,San_German,753,487,NA,NA,NA,NA,35358
FALSE,FALSE,Puerto_Rico,Metro_San_Juan,San_Juan,7798,4176,NA,NA,NA,NA,381658
FALSE,FALSE,Puerto_Rico,Caguas,San_Lorenzo,324,138,NA,NA,NA,NA,41028
FALSE,FALSE,Puerto_Rico,Aguadilla,San_Sebastian,313,138,NA,NA,NA,NA,42350
FALSE,FALSE,Puerto_Rico,Ponce,Santa_Isabel,500,238,NA,NA,NA,NA,23074
FALSE,FALSE,Puerto_Rico,Bayamon,Toa_Alta,1400,846,NA,NA,NA,NA,73227
FALSE,FALSE,Puerto_Rico,Bayamon,Toa_Baja,1570,887,NA,NA,NA,NA,87557
FALSE,FALSE,Puerto_Rico,Metro_San_Juan,Trujillo_Alto,858,457,NA,NA,NA,NA,73633
FALSE,FALSE,Puerto_Rico,Arecibo,Utuado,398,244,NA,NA,NA,NA,33179
FALSE,FALSE,Puerto_Rico,Bayamon,Vega_Alta,463,269,NA,NA,NA,NA,39505
FALSE,FALSE,Puerto_Rico,Arecibo,Vega_Baja,766,462,NA,NA,NA,NA,58710
FALSE,FALSE,Puerto_Rico,Fajardo,Vieques,57,22,NA,NA,NA,NA,9274
FALSE,FALSE,Puerto_Rico,Ponce,Villalba,644,289,NA,NA,NA,NA,25948
FALSE,FALSE,Puerto_Rico,Caguas,Yabucoa,119,26,NA,NA,NA,NA,37915
FALSE,FALSE,Puerto_Rico,Ponce,Yauco,868,494,NA,NA,NA,NA,41805
